Done?,Feature,Status,Repo,Category,Priority,Notes
,,,,,,
✅ BUILT,,,,,,
☑,Student login / signup,✅ Done,Both,Auth,Must-Have,AI Companion: JWT auth. SEP: separate student + staff login/signup pages
☑,Forgot / reset password,✅ Done,AI Companion,Auth,Must-Have,Email-based via Resend with 1hr expiry token
☑,Change password,✅ Done,Both,Auth,Must-Have,AI Companion: dashboard modal. SEP: profile settings panel
☑,Staff login / signup,✅ Done,SEP,Auth,Must-Have,Separate TeacherLoginPage + TeacherSignupPage with role-based routing
☑,Student profile (bio / school / major / skills / contact),✅ Done,SEP,Student Profile,Must-Have,Full editable profile with bio / school / major / GPA / LinkedIn / GitHub / skills
☑,Student profile (field / role / school — basic),✅ Done,AI Companion,Student Profile,Must-Have,Simple 3-field profile used to personalise AI coaching sessions
☑,Staff can view student profile,✅ Done,SEP,Student Profile,Must-Have,StudentProfilePage shows pillar scores + student self-profile + session details
☑,Staff can manually edit student pillar scores,✅ Done,SEP,Student Profile,Must-Have,Staff-only Edit Progress panel on StudentProfilePage
☑,Student status: on-track / at-risk / inactive,✅ Done,SEP,Engagement,Must-Have,Derived from avg of attendance + engagement scores — shown as badge on profile
☑,Mobile-friendly version,✅ Done,AI Companion,Engagement,Must-Have,Responsive layout with collapsible sidebar + overlay on ChatPage
☑,Cohort overview dashboard (staff),✅ Done,SEP,Admin & Staff Tools,Must-Have,CohortPage: stat boxes / pillar progress / alerts & follow-ups / student roster with sort + filter
☑,At-risk student flagging,✅ Done,SEP,Admin & Staff Tools,Must-Have,Alerts & Follow-Ups section on CohortPage — configurable threshold via Settings panel
☑,Student roster / management table,✅ Done,SEP,Admin & Staff Tools,Must-Have,StudentsPage: searchable sortable table + add student modal
☑,Staff notes on students,✅ Done,SEP,Admin & Staff Tools,Must-Have,staffNotes shown in inline profile on CohortPage (static data — not editable in UI yet)
☑,Cohort management (semester selector),✅ Done,SEP,Admin & Staff Tools,Must-Have,SemesterSelector component used across Sessions / Courses / Leaderboard / Attendance pages
☑,Session management (staff),✅ Done,SEP,Engagement,Must-Have,SessionsPage: staff can create / edit / delete sessions with title / date / time / type / instructor
☑,Session registration (student),✅ Done,SEP,Engagement,Must-Have,Students can register / unregister for sessions; mandatory vs optional tagging by class year
☑,Add to calendar (Google / ICS),✅ Done,SEP,Engagement,Must-Have,Calendar dropdown on each session card for students
☑,Attendance tracking — view / export,✅ Done,SEP,Engagement,Must-Have,AttendancePage: per-semester attendance records with present/absent filter + CSV export
☑,Attendance tracking — live marking per session,✅ Done,SEP,Engagement,Must-Have,AttendanceTrackingPage: click-to-update present/absent per student per session
☑,Leaderboard (staff only),✅ Done,SEP,Metrics,Must-Have,Sortable leaderboard with engagement / attendance / participation / total points + trend icons
☑,Course catalog — student view,✅ Done,SEP,Experiences,Must-Have,Students can browse and register/drop courses; My Courses section
☑,Course analytics — staff view,✅ Done,SEP,Experiences,Must-Have,Completion rates table / attendance distribution pie chart / key insights
☑,Opportunities / experiential learning database,✅ Done,SEP,Experiences,Must-Have,OpportunitiesPage: filterable list of job shadows / micro-internships / networking / hackathons etc.
☑,Staff can add / edit opportunities,✅ Done,SEP,Experiences,Must-Have,AddOpportunityPage + inline edit modal on OpportunitiesPage (staff only)
☑,AI Scenario: Job interview simulation,✅ Done,AI Companion,AI Scenarios,Must-Have,Full Interview Prep with streaming AI + skill scoring + session history
☑,AI Scenario: Zero inbox sprint,✅ Done,AI Companion,AI Scenarios,Must-Have,Inbox Reset — triage decisions with 8 email templates (student + professional)
☑,AI Scenario: Email writing simulation,✅ Done,AI Companion,AI Scenarios,Must-Have,Email Writing with draft feedback + side-by-side comparisons
